age,job,marital,education,default,balance,housing,loan,duration
58,management,married,tertiary,no,2143,yes,no,261
44,technician,single,secondary,no,29,yes,no,151
33,entrepreneur,married,secondary,no,2,yes,yes,76
,blue-collar,married,,no,1506,yes,no,
33,unknown,single,unknown,,1,no,no,198
35,management,married,tertiary,no,231,yes,no,139
28,management,single,,no,447,yes,yes,217
,entrepreneur,divorced,tertiary,yes,2,,no,
58,retired,married,primary,no,,yes,no,50
43,,single,secondary,,593,yes,no,55
41,admin.,divorced,secondary,no,,yes,,222
29,admin.,single,secondary,no,390,yes,no,137
,technician,married,secondary,,6,,no,
58,technician,married,,no,71,yes,no,71
57,services,married,secondary,no,162,yes,,174
51,retired,married,primary,no,,yes,no,353
45,admin.,single,unknown,no,13,yes,no,98
57,blue-collar,married,primary,no,52,yes,no,38
60,retired,married,primary,no,60,yes,no,219
